No,Original_Problem_No,Description,1,2,3,4,5,6,7,8,9
10,43,"A bakery sells two types of cakes. They sell a chocolate cake and a vanilla cake. Let's say they make x1 chocolate cakes, at a profit of $10 each, and x2 vanilla cakes, at a profit of $11 each (x1 and x2 are unknowns both greater than or equal to 0). The daily demand for these cakes is at most 50 chocolate cakes and at most 30 vanilla cakes. The bakery is short staffed and can make a maximum of 50 cakes of either type per day. How much of each cake should the bakery make in order to maximize profit?",2,1,,,,,,,
11,42,"A furniture store only stocks and sells dining tables and chairs. The profit per dining table is $350 and the profit per chair is $75. There is 500 sq ft of space available and a dining table requires 8 sq ft of floor space while a chair requires 2 sq ft. Because chairs sell in larger quantities, at least 70% of all furniture in the store must be chairs. In terms of capital, a dining table ties up $1000 in capital and a chair ties up $150 in capital. The company wants a maximum of $20000 worth of capital tied up at any time. Formulate an LP to maximize profit.",,,2,,,,,1,
12,15,"A physics teacher shows her students two experiments, a force experiment and a hydraulics experiment. In the force experiment, 5 units of the solid and 2 units of the gas mixes and reacts to create 3 units of excitement. In the hydraulics experiment, 7 units of the solid and 6 units of the gas mixes and reacts to create 5 units of excitement. In addition, the hydraulics experiment produces 2 units of heat while the force experiment produces 3 units of heat.  The lab has available 90 units of the solid and 85 units of the gas. If at most 15 units of heat can be produced, how many experiments of each should be done to maximize the total excitement?",,,3,,,,,,
13,10,"A supermarket can purchase two types of refrigerators to properly store their food, refrigerator ABC and refrigerator XYZ, and they have different specifications to consider. Refrigerator ABC is larger and can store 120 items but uses 3 kWh. Refrigerator XYZ is smaller more efficient and can store 80 items but uses 1 kWh. Due to soaring electric prices, the store is limited to at most 55 kWh but must store at least 1500 items. The store must have at least 8 refrigerator ABCs and 5 refrigerator XYZs. How many of each type of refrigerator should the supermarket purchase to minimize the number of refrigerators needed?",,,1,,2,,1,,
14,22,A composting company can store compost in medium containers and large containers. A medium container needs to be checked 5 times a week and can store 25 units of compost. A large container needs to be checked 2 times a week and can store 40 units of compost. The company needs to store at least 500 units of compost and there must be at least 3 medium containers. There must also be at least 2 large containers and the number of large containers must be three times as much as the number of medium containers. How many of each type of containers should be used to minimize the total number of times checking containers?,,,,,2,,1,,1
15,27,"In the North, a delivery service can deliver using either sleds or snowmobile. Snowmobiles can deliver 150 packages while sleds can deliver 125 packages. Most villages do not want snowmobiles to pollute their regions. Therefore, there must be at least two times more sleds than snowmobiles. If the delivery service wants to deliver 150000 packages, minimize the total number of deliveries.",,,,,,,1,,1
16,28,"A car manufacturing company needs to distribute their cars to their retail stores by either large trailers or small trailers. A large trailer can carry 6 cars while a small trailer can carry 4 cars. Since large trailers are harder to get a hold of, the number of small trailers used has to be at least three times the number of large trailers used. If at least 80 cars need to be transported, minimize the total number of trailers needed.",,,,,,,1,,1
17,30,"A gas company can transport gas using a pipeline or by train. A pipeline can carry 8000 units of gas and a train can carry 2000 units of gas every day. Due to recent environmental changes, the number of trains used must be at least twice as many as the number of pipelines. If at least 1000000 units of gas needs to be transported every day, minimize the total number of pipelines and trains needed.",,,,,,,1,,1
18,31,"An ice cream company sells ice cream as cones and tubs. A cone of ice cream contains 3 oz of ice cream while a tub contains 24 oz of ice cream.  Due to the recent wave of heat and a recent promotion, the company expects to sell at least 2 times more cones than tubs of ice cream. However, to reduce labour time and looking at previous sales, management decided to require stores to at least create 30 tubs of ice cream. If the company has the capacity to make 5000 oz of ice cream, how many orders of each should be made to maximize the total number of sales of ice cream?",,,1,,1,,,,1
19,33,"A chemical company makes an acidic liquid and a basic liquid using two types of techniques, reaction X and reaction Y. Reaction X can make 35 au of the acidic liquid and 75 au of the basic liquid per minute. Reaction Y can make 42 au of the acidic liquid and 35 au of the basic liquid per minute. Furthermore, reaction X requires 18 units of heat every minute while reaction Y requires 12 units of heat every minute. The chemical company has the capacity to generate at most 1400 units of heat every minute. If the chemical company needs to make at least 900 au of the acidic liquid and 1200 au of the basic liquid per minute, how many minutes should each reaction be run for to minimize the total time needed?",,,1,,,,2,,
20,34,"An arcade is implementing two systems, a card-based system and a coin-based system. A card-based system can accept 60 guests per hour. Conversely, a coin-based system can only accept 45 guests per hour. The card-based machine needs 6 units of electricity every hour while the coin-based machine needs only 4 units of electricity every hour. The arcade needs to be able to accept at least 1500 guests per hour but only has access to 145 units of electricity every hour. Since most guests prefer to use cards, there must be more card-based than coin-based machines. How many of each machine should be kept in the arcade to minimize the total number of machines in the arcade?",,,1,,,,1,,1
21,35,"A tea shop brews two types of teas; black and green tea. Brewing black tea takes 2 minutes and green tea 3 minutes. It takes 7 units of tea leaves and 15 units of filtered hot water to make a cup of black tea. It takes 5 units of tea leaves and 18 units of filtered hot water to make a cup of green tea. The owner of the tea shop has a deal with her distributer to acquire 700 units of tea leaves and 700 units of filtered hot water every week.  The tea shop also has a repeating customer in a Japanese restaurant to brew green tea for them. Therefore, the shop must brew at least four times more green tea than black tea. How many of each type of tea should be made to minimize the total time spent brewing tea?",,,2,,,,,,1
22,36,A construction site can use two transfer methods to move equipment using cranes or elevators. Each crane can transport 5 units of equipment and costs $2000 per hour. Each elevator can transport 2 units of equipment and costs $500 per hour. The construction site needs to transport at least 90 units of equipment and has available $30000. There must be at least three times more elevators than cranes. How many of each type of transfer method should be done to minimize the total number of transfer methods?,,,1,,,,1,,1
23,40,"A restaurant chain can make two types of meals, a steak or vegetarian meal. The steak meal makes $18 profit each and it takes 3 minutes for a chef to make. A vegetarian meal makes $9 profit each and takes 2 minutes for a chef make. The restaurant chain needs to make at least $500 profit every day and has available 1000 minutes of chef involvement. How many of each meal should the restaurant try to push through the waiting staff to minimize the total number of meals they need to make?",,,1,,,,1,,
24,41,"A coconut seller has to transport coconuts using either rickshaws or ox carts. The rickshaws can take 50 coconuts each and cost $10 per trip. The ox carts can take 30 coconuts each and cost $8 per trip. The seller has at most $200 to spend on transporting the coconuts. Due to pollution, the number of rickshaws must not exceed the number of ox carts. Formulate a LP to maximize the number of coconuts that can be transported.",,,1,,,,,,1
25,44,A spicy paste is to be made from units of peppers and tomatoes and is to contain a minimum of 130 units of spice and 90 units of flavor. Peppers cost $8 per unit and tomatoes cost $5 per unit. One unit of peppers contains 12 units of spice and 2 units of flavor. One unit of tomatoes contains 1 unit of spice and 8 units of flavor. Formulate this as an LP and find the minimum cost spicy paste that can be made.,,,,,,,2,,
26,45,"A suit store makes 2-piece and 3-piece suits. To make a 2-piece suit requires 1 hour of measuring and 4 hours of stitching. To make a 3-piece suit requires 2 hours of measuring and 5 hours of stitching. The store has 150 hours of measuring time and 300 hours of stitching time available. In order to stay in business, at least 40 2-piece suites should be made. The profit per 2-piece suit is $600 and the profit per 3-piece suit is $800. Formulate a LP to maximize profit?",,,2,,1,,,,
27,19,"A government sanitization plant processes liquid waste and solid waste in batches. Liquid waste requires 30 units of disinfectant and 20 units of bacteria. Solid waste requires 25 units of disinfectant and 15 units of bacteria. The sanitization plant has available 1500 units of disinfectant and 1000 units of bacteria. The batches of liquid waste processed must be twice the number of solid waste processed. In addition, at most 10 batches of solid waste can be processed due to storage limitations. If each liquid waste batch is the result of 10 people and each solid waste batch is the result of 3 people, how many of each should the plant process to maximize the number of people served?",1,,2,,,,,,1
28,68,"A patient lacking sleep can take two drowsiness medications, sleeping pills, and sleep supplement. Per serving, sleeping pills increase sleepiness by 2 units and introduces 0.6 units of discomfort. Per serving, sleep supplement increases sleepiness by 3.5 units and introduces 0.3 units of discomfort. Furthermore, pills contain 1 unit of sugar while sleep supplement contains 2.5 units of sugar per serving. The patient needs at least 10 units of sleepiness and can take at most 2.5 units of discomfort. How many servings of each should the patient take to minimize his sugar intake?",,,1,,,,1,,
29,72,"A children clothing manufacturer can either implement small or large production lines. A small production line is capable of creating 150 sets of clothing every day and takes 12 employees to run. Conversely, the children clothing manufacturer may implement a large production line which requires 26 employees to create 500 sets of clothing per day. There are 435 employees and the manufacturer must meet the demand of at least 6300 sets of children clothing every day. How many of each production line type should be put in place to decrease the total number of production lines?",,,1,,,,1,,
30,96,"A nearby lake is frequently artificially seeded with trout for local fishermen. The trout are transported using either large trucks or by boat. Transporting using large trucks can take 2000 trout and costs $300 per trip. Transporting with boat can take 1200 trout and costs $100 per trip. Since boats take extra preparation, at least 75% of trips should be by large trucks. Additionally, there can be at most 5 trips by boat. If at least 7000 trout need to be seeded into the nearby lake, how many of each type of trip should be taken to minimize the total cost?",1,,,,,,1,1,
